foodmenuname,foodcategoryId,foodingredientId,salesprice,vatId,description,vegitem,beverage,bar,photo
SNACK7,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAZHAM PORI BEEF,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VADASET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
UPMA SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDLY SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDLY VADA SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
IDIYAPPAM + VEG KURMA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PUTTU + KADALA CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WHEAT PUTTU + KADALA CURRY,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PURI + BHAJI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
APPAM + EGG ROAST,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PURI + EGG ROAST,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PLAIN DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SET DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GHEE DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ONION DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TOMATO DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MASALA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BUTTER DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA ONION DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BULLSEYE DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
UTHAPPAM SET,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA MASALA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GHEE MASALA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BUTTER MASALA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DOUBLE EGG DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DOUBLE CHEESE DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MYSORE MASALA DOSA,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MINT MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ORANGE MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGOMEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WATERMELON MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKOO MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAPAYA MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GUAVA MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GRAPE MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVOCADO MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY MEDIUM,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MINT LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ORANGE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WATERMELON LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKOO LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAPAYA LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GUAVA LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GRAPE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVOCADO LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY SHAKE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CARAMEL LATTE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHOCOLATE SHAKE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OREO BISCUIT SHAKE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PEANUT SHAKE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LOTUS BISCUIT SHAKE LARGE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVIL MILK,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TAHA COCKTAIL ,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBWRRY BANANA SMOOTHIE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO SMOOTHIE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE BANANA SMOOTHIE,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY LASSI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO LASSI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHOCOLATE LASSI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SWEET/SALT LASSI,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY MOJITO,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PASSION FRUIT MOJITO,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PEACH MOJITO,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TROPICAL BLUE MOJITO,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE HONEY POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OMAN CHIPS POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OMLETTE POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRENCH FRIES POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN CHILLY POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
POPCORN POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
NUGGESTS POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRANSCISCO POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ZINGER POROTTA SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ZINGER MATHAFI SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP SAMOON SANDWICH,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF BURGER,6593cddb6f5d76b3f95cea1c,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
