foodmenuname,,foodingredientId,salesprice,vatId,description,vegitem,beverage,bar,photo
ONION DOSA,655ef7971532830df6b987c21,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA DOSA,655ef7971532830df6b987c22,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TOMATO DOSA,655ef7971532830df6b987c23,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MASALA DOSA,655ef7971532830df6b987c24,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BUTTER DOSA,655ef7971532830df6b987c25,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA ONION DOSA,655ef7971532830df6b987c26,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG DOSA,655ef7971532830df6b987c27,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BULLSEYE DOSA,655ef7971532830df6b987c28,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
UTHAPPAM SET,655ef7971532830df6b987c29,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
RAVA MASALA DOSA,655ef7971532830df6b987c30,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GHEE MASALA DOSA,655ef7971532830df6b987c31,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PANEER DOSA,655ef7971532830df6b987c32,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE DOSA,655ef7971532830df6b987c33,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BUTTER MASALA DOSA,655ef7971532830df6b987c34,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DOUBLE EGG DOSA,655ef7971532830df6b987c35,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DOUBLE CHEESE DOSA,655ef7971532830df6b987c36,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MYSORE MASALA DOSA,655ef7971532830df6b987c37,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MINT MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ORANGE MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGOMEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WATERMELON MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKOO MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAPAYA MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GUAVA MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GRAPE MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVOCADO MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY MEDIUM,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LEMON MINT LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ORANGE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
WATERMELON LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKOO LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PAPAYA LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GUAVA LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
GRAPE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVOCADO LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY SHAKE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CARAMEL LATTE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHOCOLATE SHAKE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OREO BISCUIT SHAKE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PEANUT SHAKE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
LOTUS BISCUIT SHAKE LARGE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
AVIL MILK,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TAHA COCKTAIL,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",14,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBWRRY BANANA SMOOTHIE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO SMOOTHIE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PINEAPPLE BANANA SMOOTHIE,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY LASSI,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
MANGO LASSI,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHOCOLATE LASSI,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
SWEET/SALT LASSI,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
STRAWBERRY MOJITO,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PASSION FRUIT MOJITO,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
PEACH MOJITO,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
TROPICAL BLUE MOJITO,6593cc3645e19f95fd10e3af,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE HONEY POROTTA SANDWICH,6593cc5c45e19f95fd10e3b5,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHEESE POROTTA SANDWICH,6593cc5c45e19f95fd10e3b6,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OMAN CHIPS POROTTA SANDWICH,6593cc5c45e19f95fd10e3b7,"[""[\""655ef6721532830df6b987bb\""]""]",3,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
OMLETTE POROTTA SANDWICH,6593cc5c45e19f95fd10e3b8,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRENCH FRIES POROTTA SANDWICH,6593cc5c45e19f95fd10e3b9,"[""[\""655ef6721532830df6b987bb\""]""]",4,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN CHILLY POROTTA SANDWICH,6593cc5c45e19f95fd10e3b10,"[""[\""655ef6721532830df6b987bb\""]""]",5,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
POPCORN POROTTA SANDWICH,6593cc5c45e19f95fd10e3b11,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
NUGGESTS POROTTA SANDWICH,6593cc5c45e19f95fd10e3b12,"[""[\""655ef6721532830df6b987bb\""]""]",6,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF POROTTA SANDWICH,6593cc5c45e19f95fd10e3b13,"[""[\""655ef6721532830df6b987bb\""]""]",7,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP POROTTA SANDWICH,6593cc5c45e19f95fd10e3b14,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG POROTTA SANDWICH,6593cc5c45e19f95fd10e3b15,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRANSCISCO POROTTA SANDWICH,6593cc5c45e19f95fd10e3b16,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ZINGER POROTTA SANDWICH,6593cc5c45e19f95fd10e3b17,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG SAMOON SANDWICH,6593cc5c45e19f95fd10e3b18,"[""[\""655ef6721532830df6b987bb\""]""]",9,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG SAMOON SANDWICH,6593cc5c45e19f95fd10e3b19,"[""[\""655ef6721532830df6b987bb\""]""]",11,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN SAMOON SANDWICH,6593cc5c45e19f95fd10e3b20,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF SAMOON SANDWICH,6593cc5c45e19f95fd10e3b21,"[""[\""655ef6721532830df6b987bb\""]""]",13,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ZINGER MATHAFI SAMOON SANDWICH,6593cc5c45e19f95fd10e3b22,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP SAMOON SANDWICH,6593cc5c45e19f95fd10e3b23,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
EGG BURGER,6593cc5c45e19f95fd10e3b24,"[""[\""655ef6721532830df6b987bb\""]""]",8,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
CHICKEN BURGER,6593cc5c45e19f95fd10e3b25,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
VEG BURGER,6593cc5c45e19f95fd10e3b26,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
BEEF BURGER,6593cc5c45e19f95fd10e3b27,"[""[\""655ef6721532830df6b987bb\""]""]",12,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
ZINGER BURGER,6593cc5c45e19f95fd10e3b28,"[""[\""655ef6721532830df6b987bb\""]""]",15,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
DYNAMITE SHRIMP BURGER,6593cc5c45e19f95fd10e3b29,"[""[\""655ef6721532830df6b987bb\""]""]",16,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
FRENCH FRIES,6593cc5c45e19f95fd10e3b30,"[""[\""655ef6721532830df6b987bb\""]""]",10,655ef1cfb3999d1add24f83e,CHINEESE COMBO,no,no,no,imgae-1704261675496. black_friday_banner_02.jpg
